Scientific Name,Habitat Comments
Anaxyrus americanus,"American toads live on land except during the brief breeding season. They live in a wide variety of habitats, ranging from forests to prairies, wherever there is sufficient moisture, food, and a suitable breeding site. They emerge from winter dormancy on land and migrate up to several hundred meters to breeding sites. Breeding occurs in shallows of slow- or nonflowing bodies of water, including both permanent and temporary pools, generally in sites with few if any fishes (e.g., Holomuzki 1995). In northern Minnesota, successful reproduction in acidic bog water either does not occur or is a rare event (Karns 1992)."
Anaxyrus fowleri,"Fowler's toads inhabit wooded areas, river valleys, and floodplains, including agricultural and residential areas, usually in areas with deep friable soils, up to at least several hundred meters from breeding sites. During cold weather or drought, they burrow underground or hide under rocks, plants, or other cover. Breeding sites include shallow water of marshes, rain pools, ponds, lakes, reservoirs, flooded areas, and other bodies of water lacking a strong current."
Anaxyrus quercicus,"Sandy pine flatwoods and oak scrub; open pine and pine-oak woods; pine or oak savannas with sandy soils; maritime forests. Occurs on some barrier islands in South Carolina. Seems to favor open-canopied pine flatwoods with grassy ground cover. When inactive, burrows underground or hides under surface objects. Eggs and larvae develop in rain pools, ditches, cypress and flatwoods ponds, and other flooded areas."
Anaxyrus terrestris,"Adaptable and ubiquitous. Occupies a wide variety of wooded and unwooded habitats, which usually have sandy soil. Burrows underground when inactive. Eggs and larvae develop in shallow water of permanent ponds, woodland pools, and flooded depressions."
Aneides aeneus,"Damp (but not wet) crevices in shaded rock outcrops and ledges. Also beneath loose bark and in cracks of standing or fallen trees (e.g., in cove hardwoods); sometimes in or under logs on ground (e.g., Wilson 2003). Sometimes reaches high population densities in logged areas where tree tops are left. Eggs are laid in rock crevices (e.g., Davis 2004), rotting stumps, or similar dark, damp places."
Cryptobranchus alleganiensis,"Rocky, clear creeks and rivers, usually where there are large shelter rocks. Usually avoids water warmer than 20∫ C. Males prepare nests and attend eggs beneath large flat rocks or submerged logs. The hellbender salamander, considered a ""habitat specialist,"" has adapted to fill a specific niche within a very specific environment, and is labeled as such ""because its success is dependent on a constancy of dissolved oxygen, temperature and flow found in swift water areas,"" which in turn limits it to a narrow spectrum of stream/river choices (Peterson et al. 1988). As a result of this specialization, hellbenders are generally found in areas with large, irregularly shaped, and intermittent rocks and swiftly moving water, while they tend to avoid wider, slow-moving waters with muddy banks and/or slab rock bottoms. This specialization likely contributed to the decline in their populations, as collectors could easily identify their specific habitats (Peterson et al. 1988)."
Cryptobranchus alleganiensis alleganiensis,"Seepage salamanders inhabit moss, leaf litter, or surface debris on the floors of mixed hardwood forests near small creeks, springs, and seepage areas (Harrison 1967, Hining and Bruce 2005). They also occur in damp shaded ravines (Harrison 1967). Eggs are laid under moss or in small protected depressions (Harrison 1967)."
Desmognathus aeneus,"In or along swift, boulder-strewn mountain streams. Also near waterfalls and places where cold water drips or seeps. Refuges are in rock cevices or in burrows (Camp and Lee 1996). Usually under rocks in daytime. Sometimes basks in sun on wet rocks. Eggs are laid on undersides of rocks or on tree roots in streambed, apparently in headwater tributaries in North Carolina (Bruce 1985)."
Desmognathus amphileucus,"Within and adjacent to seepage streams within steep-sided ravines in slope forests; sometimes also in mucky floodplain and bottomland forests. Undisturbed, pristine ravines and seepage streams are ideal. Uses logs, rocks, leaf litter, and leaf packs for cover, also takes refuge in friable streambanks (Means and Karlin 1989). Eggs are attached in cluster to undersurface of twig or small log or rock, and are immersed in trickling water; larvae found in very shallow water trickling through decomposing litter on saturated sites adjacent to larger brooks, on sandy or organic substrates (Means and Karlin 1989)."
Desmognathus apalachicolae,"Mucky areas near springs, swamps, cypress heads, mud-bottomed streams, floodplain pools, and ravine streams where pockets of organic debris collect; usually in or near moving water. Environment usually acidic. Hides under leaves, logs, or debris or in burrows during day. Eggs are laid under or in logs or in depressions under moss or other cover near water."
Desmognathus aureatus,"Floodplains, sloughs, and mucky sites along upland streams. Usually near running or trickling water. Hides under leaves, rocks, or other objects in or near water, or in burrows. Eggs are laid near water under moss or rocks, in logs, and in stream-bank cavities. Larval stage usually aquatic."
Desmognathus auriculatus,Semiaquatic along small streams (Camp et al. 2002).
Desmognathus campi,"Rock-strewn woodland streams, seepages, and springs in north; floodplains, sloughs, and mucky sites along upland streams in south. Usually near running or trickling water. Hides under leaves, rocks, or other objects in or near water, or in burrows. Eggs are laid near water under moss or rocks, in logs, and in stream-bank cavities. Larval stage usually aquatic."
Desmognathus conanti,"Small to medium-sized, cool upland streams or spring runs. Hides under rocks in shallow water, most commonly in riffles. Intolerant of siltation. Attaches eggs to undersides of rocks or logs in main current of stream."
Desmognathus folkertsi,"Mountain streams, small rocky spring-fed brooks in hardwood- shaded ravines, seepeages, muddy section of streams. Hides under rocks or moss, and in burrows in mud banks. Sometimes perches on wet rocks. Eggs are laid on undersides of rocks or leaves in water or seepages; also under or in logs near water."
Desmognathus fuscus,"Habitat ranges from low gorges to the highest mountaintops in the Great Smoky Mountains (Petranka 1998). The species often is abundant on wet rock faces. At lower elevations and in winter, this salamander usually concentrates near seepage areas, springs, and small streams; it may range into adjacent wooded areas in wet weather. It is more terrestrial at higher elevations and is a characteristic inhabitant of the floor of spruce-fir forests. Individuals frequently climb plants on rainy nights (Petranka 1998). Adults and juveniles congregate in seepages and underground retreats in winter (Shealy 1975). Eggs are laid in wet rock crevices or under rocks, logs, or moss in seepage areas or near small streams, usually at or slightly above the water surface (Pope 1924, Martof and Rose 1963, Forester 1977, Bruce 1990, Petranka 1998)."
Desmognathus marmoratus,"Permanent wooded swamps (tupelo, cypress, birch, buttonbush, and vine tangles) bordering rivers and streams. May climb high into trees. Generally intolerant of impoundments that flood habitat. Males call from trees, shrubs, and vines that are in or next to water. Eggs and larvae develop in swamp pools."
Desmognathus monticola,"Cope's gray treefrogs inhabit wooded areas and woodland edges (including woodlots in prairies), usually within a few hundred meters of the aquatic habitats in whch they breed. Often they occur in recently disturbed areas with abundant shrubs, herbaceous growth, and vines. Activity is arboreal and terrestrial. In Tennessee, frogs associated with knothole cavities in trees in fall were not there after mid-November (Ritke and Babb 1991). When inactive, frogs may hide in tree holes, under bark, under leaves, or under tree roots.<br><br>Breeding sites include temporary or permanent waters of flooded ditches, puddles, river sloughs, creeks, and small ponds, where there are woody branches or extensive herbaceous growth along the edges. Males call from the water surface or from vegetation or ground near water. Individuals generally breed in the same site in successive years (Ritke et al. 1991)."
Desmognathus ocoee,"Green treefrogs inhabit swamps, marshes, and areas adjacent to ponds, lakes, and slow streams, particularly where aquatic habitats include abundant floating and emergent vegetation. Little is known about the habits of green treefrogs outside the breeding season; they may overwinter in upland situations near wetlands. Eggs and larvae develop in shallow, still, permanent or long-lasting temporary water. Males call while perched on plants next to water or while sitting on floating plants."
Desmognathus perlapsus,"Pine woods treefrogs inhabit longleaf pine-wiregrass flatwoods and savannas and longleaf pine-turkey oak sandhills, usually near bogs or ponds. Occasionally they occur in hardwood forests and swamps. Activity is mostly arboreal, with perch sites ranging from low shrubs to high tree tops. frogs may hide under or in rotting logs, stumps, or snags during dry or cold weather. Eggs and larvae develop in flooded ditches and transient pools and ponds, occasionally in cypress swamps."
Desmognathus valtos,"Sandy areas in pine savannas and in low wet woods and swamps (e.g., willow oak-blackgum, cypress swamps). When inactive during cold or dry season, burrows under tree roots, vegetation, or in soil; otherwise mostly arboreal and thus dependent on trees near water. Eggs and larvae develop in shallow water of ponds, swamps, and bayheads; in Virginia, breeding sites were temporary ponds dominated by graminoids, beneath open canopies (Mitchell 1991). Reproduction is more successful in semi-permanent ponds due to the absence of predatory fishes. In some areas, deep ponds, such as Carolina Bays and barrow pits, are preferred breeding sites."
Dryophytes avivoca,"Open woods, cities, and towns; thick low vegetation near water; wherever there is adequate moisture, hiding places, nearby standing water, and insect food. When inactive, hides under loose bark, palm leaves, in tree holes, in gardens, and in other protected sites. Nonbreeding ""rain call"" given by males from trees and bushes when rainfall is impending. Eggs and larvae develop in flooded roadside ditches, flatwoods ponds, swamps, and small, semipermanent stock-watering ponds. Males call from debris and twigs above water, on ground near water, or hidden in grass clumps adjacent to permanent or temporary rain pools of moderate depth (Schwartz and Henderson 1991)."
Dryophytes chrysoscelis,"Gray treefrogs inhabit various kinds of wooded and forested habitats and may occur on the ground or more often in shrubs or trees. Inactive individuals may be in tree holes, under bark, in rotten logs, under leaves, and under tree roots.Breeding sites include shallow woodland ponds and marshes, puddles, ponds in forest clearings, swamps, bogs, and many other kinds of permanent or temporary, natural or human-created waters lacking a significant current. In northern Minnesota, successful reproduction in acidic bog water either does not occur or is a rare event (Karns 1992). In central Ontario, embryos and larvae exhibited high degree of acid tolerance (J. Herpetol. 26:1-6). The presence of snails (which may harbor trematodes that infect frogs) may influence choice of oviposition site by <i>H. versicolor </i>(Kiesecker and Skelly 2000)."
Dryophytes cinereus,"Terrestrial; areas with shelter and moisture--broadleaf forest, gardens, greenhouses and well-watered nurseries, lawns, dumps, gopher tortoise burrows, small stream valleys, hardwood hammocks with damp leaf litter, beach COCOS trash. Under debris or in similar damp site when inactive. May perch on low grass, occasionally in bromeliads above ground (Grand Cayman) (Schwartz and Henderson 1991). Males call from on or near ground, often on leaves or debris (Schwartz and Henderson 1991). <br><br>Terrestrial breeder; no aquatic larval stage. Eggs laid among vegetation or debris (Conant 1975, Behler and King 1979); under rocks, vegetal debris, in rooted plank in woodpile in cutover scrub, in fallen bromeliad (Schwartz and Henderson 1991)."
Dryophytes femoralis,Springs and streams in wooded areas; generally under rocks or logs or among aquatic vegetation in pools or riffles; eggs are laid probably on the undersides of rocks or logs in flowing water (Kozak and Lannoo 2005).
Dryophytes gratiosus,"Rocky brooks, springs, seepages, river swamps (e.g., tupelo-cypress), forested floodplains with stagnant pools; may disperse into wooded terrestrial habitats in wet warm weather. Adults hide under objects in or near flowing water. Often found crossing roads in rainy weather during breeding season. Eggs are laid on/under submerged rocks, logs, or aquatic plants, usually in flowing water, locally in ponds."
Dryophytes squirellus,"Forested floodplains, ditches, damp streamsides, seepage springs. May disperse into wooded terrestrial habitats in wet weather. Hides in rock crevices, crayfish burrows, and under rocks, logs, and other debris. Eggs are laid in underground crevices associated with springs, temporary pools, and slow-moving streams; under rocks in streams; in bogs; or in woodland ponds."
Dryophytes versicolor,"Bay swamps, the periphery and upper end of beaver ponds, isolated wetlands, and lazy first-order streams and seepage ravines provide habitat for this species. Sphagnum moss (<i>Sphagnum </i>spp.) is commonly extensive in appropriate habitat and provides ideal shelter and moisture for the salamanders. Larvae are presumed to occur in flowing water within and near adult habitats."
Eleutherodactylus planirostris,"Streamsides, spring runs, cave mouths, abandoned mines; also ponds in northern New Jersey (Conant and Collins 1991). May disperse into wooded terrestrial habitats in wet weather. Hides in rock crevices and under rocks, logs, and other debris. Eggs are laid in underground crevices associated with springs, temporary pools, and streams; under rocks in streams; in woodland ponds; or are attached to objects in or above water in caves."
Eurycea aquatica,"Caves (usually limestone); also rocky streams and springs, and wooded areas and fields, usually near caves or limestone outcrops. Hides under objects during day in noncave areas, except in wet weather when it may be in the open. Eggs are laid in cave streams or pools, springs, or in rocky streams outside of caves. Larvae remain in cave pools until winter or early spring when pools begin to overflow; larvae washed into larger streams, remain there until metamorphosis"
Eurycea cirrigera,"Low swampy areas, margins of pine savanna ponds, bottomland forests. Hides under logs or other debris during day. In Alabama, peaks in terrestrial activity coincided with late fall-early winter rains (Trauth 1983). Lays eggs in seepage areas or near the edge of shallow ponds on undersides of logs or leaves, under or on sphagnum or pine needles, or on rootlets beneath logs."
Eurycea guttolineata,"<span><span>The species inhabits subterranean waters of caves formed in limestone, including in caves used by bats. It is most easily seen resting on bottom sediments in small pools, but extent of use of less accessible waters in the aquifer is unknown. Specimens have also been pumped from deep groundwater wells.</span></span>"
Eurycea hillisi,"Rocky brooks, springs, seepages; may disperse into terrestrial habitats in wet warm weather. Adults hide under objects in or near water. Eggs are laid in water on underside of rock, log, etc."
Eurycea longicauda,"Eastern narrow-mouthed toads occur a wide variety of habitats, usually in areas with sandy or loamy soils. On land, they range up to several hundred meters from water. They burrow underground or hide beneath objects in daytime and when conditions are cold or dry. Breeding sites include lakes, ponds, sloughs, flooded roadside ditches, swamps, stream margins, rain puddles, etc., in both temporary and permanent waters. Males call from sheltered locations, often from beneath objects at the water's edge or partially buried in grass."
Eurycea lucifuga,"Occurs in streams in caves that contain amphipods and other aquatic organisms that can serve as food; individuals may be found in rimstone pools, stream runs and pools, and pools isolated by receding waters; water tends to be clear and free of sediment; substrates include rock, gravel, sand, and mud (Godwin 1995). Sinkholes are an important habitat component, allowing for detritus inflow (Caldwell and Copeland 1992). Occasionally occurs in epigean environments; probably these individuals have been washed out of caves (Bury et al. 1980)."
Eurycea quadridigitata,"Small, clear upland streams; clear springs; caves; shaded seepages; occasionally in swamps and lake margins. Sometimes also in forested wet areas away from streams, especially during rainy periods. Often under rocks, logs, leaves, or moss in or near water. Eggs usually are attached to undersides of rocks in running water. <br><br>Adams and Beachy (2001) documented morphological variation among populations in the southern Appalachian Mountains and found patterns ""consistent with the hypothesis that large rivers restrict sizable gene flow."""
Eurycea wallacei,"Adults live under objects or among mosses in swamps, boggy streams, and wet, wooded or open areas near ponds or quiet, mossy or grassy/sedgy pools (the larval habitat). Sphagnum moss is commonly abundant in suitable habitat. <br><br>Eggs are laid in moss or other protected sites immediately above or next to a pool, into which the larvae drop or wriggle after hatching."
Eurycea wilderae,"Primary habitat is native xeric upland habitats, particularly longleaf pine-turkey oak sandhill associations; also xeric to mesic longleaf pine flatwoods, sand pine scrub, xeric oak hammocks, and ruderal successional stages of these habitats; generally occurs only where there are gopher tortoises, but rare or absent at most tortoise colonies; absent from most coastal islands and dunes (Godley 1992). Burrows of gopher tortoise or rodents are used for shelter (Gentry and Smith 1968, Lee 1968, Franz 1986); hides also under logs, under or in stumps, and in sewers (Wright and Wright 1949).<br /><br />Breeding occurs in ephemeral to semi-permanent graminoid-dominated wetlands that lack large predatory fishes (Bailey 1991; Moler and Franz 1987; Palis, unpubl. data). Gopher frogs have also been observed breeding in ditches and borrow pits (Means 1986), and have been heard calling from a recently re-filled, normally permanent wetland following an extreme drought (Franz 1991). The reproductive habitat is best described as a circular or near- circular depression marsh, ranging from 0.02 ha to 33.3 ha (Palis and Jensen 1995, Enge et al. 2014). Dominant emergent graminaceous vegetation typically includes maidencane (<i>Panicum hemitomon</i>), panic grasses (<i>Panicum </i>spp.), bluestem (<i>Andropogon </i>sp.), yellow-eyed grasses (<i>Xyris </i>spp.), pipewort (<i>Eriocaulon compressum</i>), beakrushes (<i>Rhynchospora </i>spp.), and spikerushes (<i>Eleocharis </i>spp.). Most breeding sites have a small component of woody vegetation such as St. John's-wort (<i>Hypericum fasciculatum</i>), myrtle-leaved holly (<i>Ilex myrtifolia</i>), and slash pine that is typically restricted to the edge. Gopher frogs occasionally breed in pond-cypress (<i>Taxodium ascendens</i>)- dominated depressions (Godley 1992, Palis pers. obs.).<br /><br />Egg masses are laid within an average of 4.5 cm (range 0-20 cm) of the surface, in water 33-78 cm (mean 59 cm) deep, typically attached to vertical stems of graminaceous emergent vegetation (Palis, unpubl. data), as well as to semi-woody weedy vegetation or small (&lt;8 mm) woody stems (e.g., branches of St John's-wort or myrtle-leaved holly). Egg masses may also be deposited on the bottom in shallow water (Bailey, pers. comm.).<br /><br />Habitat suitability models indicated that number of wetlands, well-drained soil, compatible land cover, and frequent fires were the most important predictors of habitat for the species (Crawford et al. 2020)."
Gastrophryne carolinensis,"American bullfrogs inhabit ponds, swamps, lakes, reservoirs, marshes, brackish ponds (e.g., Hawaii), stream margins, and irrigation ditches, especially sites with abundant floating, emergent, or submerged vegetation. They may disperse from water in wet weather and sometimes are found in temporary waters hundreds of meters from permanent water. Bullfrogs sometimes make seasonal migrations to and from ephemeral bodies of water, or between adjacent permanent aquatic habitats. Individuals often remain in one pond or in a cluster of adjacent ponds throughout a season but may move up to a mile or more from one year to the next. Breeding sites are primarily permanent slow- or nonflowing bodies of water."
Gyrinophilus palleucus,"Green frogs inhabit virtually any body of permanent or semipermanent water, as well as vernal pools, and juveniles regularly use nearby small temporary pools and puddles. Individuals may disperse from water in wet weather, especially at night. In winter, they shelter under objects on land, underground, or in water. Many overwinter in flowing water of small streams. Wintering sites may be in breeding areas or commonly several hundred meters away. Breeding sites are in shallow, slow- or nonflowing water."
